Project Title,Guide,Domain1,Domain2,Domain3,Domain4
Decentralised authentication system,Prof. Jyoti Ramteke,Blockchain,Cybersecurity,Cloud Computing,
AIML Insurance Cost Predictor,Prof. Rupali Sawant,AIML,Data Science/Analytics,NLP,Cloud Computing
Farmer marketplace website,Prof. Nawal Dandekar,DEV,Cloud Computing,Data Science/Analytics,UX
Text utility tool using NLP and AIML,Prof. Aparna Halbe,NLP,AIML,Data Science/Analytics,
Stock Price Predictor,Prof. Swapnali Kurhade,Data Science/Analytics,AIML,,
Stock Analysis and Portfolio Management,Prof. Khushbu Chauhan,Data Science/Analytics,Blockchain,,
Keylogger,Prof. Renuka Pawar,Cybersecurity,DEV,,
LOAN AMOUNT PREDICTOR,Prof. Swapnali Kurhade,Data Science/Analytics,AIML,,
Cancer Detection and Prediction,Prof. Khushbu Chauhan,AIML,Data Science/Analytics,,
AttendEase,Prof. Abhijeet Salunke,DEV,,,
Object Detection And Recognition,Prasenjit Bhavathankar,Computer Vision,Data Science/Analytics,,
Heart Disease Risk Assessment using Machine Learning ,Rupali Sawant,AIML,Data Science/Analytics,,
Decentralized supply chain tracker,Prof. Sheetal Chaudhari,Blockchain,Data Science/Analytics,Cloud Computing,
Early Diagnosis of Parkinson's Disease,Prof. Jignesh Sisodia,AIML,Data Science/Analytics,,
Indian Sign Language Recognition,Prof. Reeta Koshy,NLP,Computer Vision,AIML,
Sentiment analysis for Amazon products,Prof. Aparna Halbe,NLP,Data Science/Analytics,AIML,
Crop Yield Predictor,Prof. Pramod Bide,Data Science/Analytics,AIML,,
Instagram reach analysis,Prof. Rupali Sawant,Data Science/Analytics,AIML,,
Sign Language Recognition,Prof. Sudhir Dhage,Computer Vision,NLP,AIML,
Walmart Sales Forecasting,Prof. Sheetal Chaudhari,Data Science/Analytics,AIML,,
Blood Cancer Detection using Image Processing and Machine Learning ,Prof. Sheetal Chaudhari,Image and video processing,Data Science/Analytics,,
LOAN ELIGIBILITY PREDICTOR,Prof. Aparna Halbe,AIML,Data Science/Analytics,,
BOT app - Bang on Time! - An app that helps you stay punctual,Dr. Nataasha Raul,AIML,NLP,Data Science/Analytics,
Text Summarisation Using NLP,Prof. Reeta Koshy,NLP,Data Science/Analytics,AIML,
Price Predictor,Prof Nawal Dandekar,Data Science/Analytics,AIML,,
Object analyzer with facial recognition technology,Prof. Aparna Halbe,Computer Vision,AIML,Data Science/Analytics,
Online debate website,Prof. Nawal Dandekar,DEV,,,
Subjective Long Answer Evaluation Using Machine Learning ,Prof. Varsha Hole,AIML,Data Science/Analytics,,
Source Code Plagiarism Checker,Dr. Anant Nimkar,AIML,Data Science/Analytics,,
Dukaan (E-Kiraana Store),Dr. Kailas Devadkar,DEV,Data Science/Analytics,AIML,UX
Gesture Based Volume Control using Computer vision,Dr. Prasenjit Bhavthankar,Computer Vision,AIML,Data Science/Analytics,
Financial Family Planning Model,Prof. Abhijeet Salunkhe,Data Science/Analytics,AIML,,
Fashion recommendation system,Prof.Kiran Gawande,AIML,Data Science/Analytics,,
Platform for kirana store owners,Prof.Varsha Hole,DEV,Data Science/Analytics,AIML,UX
Sign language recognition system,Dr. Dhananjay Kalbande,Computer Vision,NLP,AIML,
Flight Ticket Price Prediction,Prof. Kiran Gawande,Data Science/Analytics,AIML,,
Blockchain Solution for Transparent and Corruption-free Govt. official transfer,Prof.Renuka Pawar,Blockchain,Data Science/Analytics,Cloud Computing,
App to help the user maintain a healthy lifestyle and provide dietary advice,Prasenjit Bhavathankar,AIML,Data Science/Analytics,NLP,
Decentralized Application to Improve Healthcare System,Renuka Pawar,Blockchain,Data Science/Analytics,AIML,
Vehicle Number Plate Recognition and Reading,Dr.Surekha Dholay,Computer Vision,Data Science/Analytics,,
WhatsApp Chat Analyzer,Prof.Pramod Bhide,Data Science/Analytics,AIML,NLP,
Online Retail platform for farmers,Prof. Kiran Gawande,DEV,Data Science/Analytics,AIML,UX
Prediction of heart diseases using AIML Algorithm,Prof.Reeta Koshy,AIML,Data Science/Analytics,NLP,
Dress ME AI,Prof.Reeta Koshy,AIML,Data Science/Analytics,NLP,
Device for visually impaired people,Dr. Dhananjay Kalbande,Computer Vision,NLP,AIML,
Machine Learning Powered Healthcare Chatbot,Prof. Sunil Ghane,AIML,Data Science/Analytics,NLP,
Speech Emotion Recognition System,Prof. Varsha Hole,NLP,AIML,Data Science/Analytics,
Company's Financial Report Analyzer,Dr.Surekha Dholay,Data Science/Analytics,AIML,,
Disease prediction from external image of eye,Dr. Kailas Devadkar,Computer Vision,Data Science/Analytics,,
Question Paper Generator,Dr. Kailas Devadkar,AIML,Data Science/Analytics,,
Forecasting COVID-19 cases,Prof. Jyoti Ramteke,Data Science/Analytics,AIML,Deep Learning,
An application that helps find the safest route,Dr. Nataasha Raul,AIML,Data Science/Analytics,UX,
Chronic disease detection and cure,Prof. Anand Godbole,Data Science/Analytics,AIML,AIML,
Disease and injury detection,Prof. Rupali Sawant,Computer Vision,AIML,Data Science/Analytics,
Temperature Monitoring System,Prof. Sunil Ghane,Data Science/Analytics,AIML,UX,
Auto completion tool,Prof. Swapnali Kurhade,AIML,NLP,Data Science/Analytics,
Student - College Interactive Portal,Prof. Jignesh Sisodia,DEV,UX,,
A.I. Powered E-Learning Website,Prof. Sunil Ghane,DEV,AIML,Data Science/Analytics,
Healthcare Advisory,Dr. Sudhir Dhage,AIML,NLP,Data Science/Analytics,
Red Traffic Light Violation Detection,Dr. Kailas Devadkar,Computer Vision,AIML,Data Science/Analytics,Cybersecurity
Campus Connect: Clubs and Committees Hub,Dr. Kailas Devadkar,DEV,UX,,
Face recognition based attendance system,Dr. Anant Nimkar,Computer Vision,AIML,Data Science/Analytics,Cybersecurity
Face recognition based attendance system,Prof. Pramod Bide,Computer Vision,AIML,Data Science/Analytics,Cybersecurity
Virtual Driving Assistant,Prof. Kiran Gawande,AIML,Computer Vision,Data Science/Analytics,UX
Personal Finance Management,Prof Swapnili Kurhade,Data Science/Analytics,AIML,Blockchain,
Driver Drowsiness Detection System,Dr. D. R. Kalbande,Computer Vision,AIML,Data Science/Analytics,
Home Automation System,Prof. Pramod Bide,AIML,Data Science/Analytics,AIML,
Examix - A secure and proctored online exam application,Prof. Anand Godbole,DEV,Security,AIML,DEV
Donate things to orphanage,Dr. Nataasha Raul,DEV,UX,,
Reliable Review Generator using NLP,Prof. Anand Godbole,NLP,AIML,Data Science/Analytics,
Student Lifestyle App,Prof. Jignesh Sisodia,DEV,AIML,NLP,UX
MEAL BOX,Prof. Nawal Dandekar,DEV,Data Science/Analytics,AIML,UX
Traffic Congestion prediction,Prof.Abhijeet Salunke,AIML,Data Science/Analytics,Deep Learning
Credit Card Fraud Detection,Dr. Kailas Devadkar,Data Science/Analytics,AIML,Cybersecurity,
Credit Risk Analysis,Dr. Sudhir Dhage,Data Science/Analytics,AIML,Blockchain
Music Entertainment Website,Dr. Sudhir Dhage,DEV,UX,AIML,NLP
Auto Answer Generation,Prof. Varsha Hole,NLP,Data Science/Analytics,AIML,
Website to tackle mental health problems,Prof. Khushbu Chauhan,DEV,UX,AIML,Data Science/Analytics
Stock price predictor,Prof. Pramod Bide,Data Science/Analytics,AIML,Deep Learning
Music Streaming Web Application,Prof. Sunil Ghane,DEV,UX,AIML,Data Science/Analytics
Startup success prediction,Dr. D. R. Kalbande,Data Science/Analytics,AIML,Deep Learning
Online pharmaceutical platform for comparing medicines ,Dr. Nataasha Raul,DEV,Data Science/Analytics,AIML,Blockchain
The Swift Reader - NLP & Web Scraping based News Summarizer,Prof. Jignesh Sisodia,DEV,NLP,Data Science/Analytics,AIML
Social Media App,Prof. Sunil Ghane,DEV,Data Science/Analytics,AIML,UX
Weather Forecasting tool ,Dr. Anant Nimkar,Data Science/Analytics,AIML,Deep Learning
Sales Forecasting ,Dr. D. R. Kalbande,Data Science/Analytics,AIML,Deep Learning
Car Pooling Application,Dr. Sudhir Dhage,DEV,Data Science/Analytics,AIML,UX
Facial Recognition for Cybersecurity ,Dr. Sudhir Dhage,Computer Vision,AIML,Data Science/Analytics,Cybersecurity
Movie recommendations web application ,Prof. Khushbu Chauhan,DEV,AIML,Data Science/Analytics,
Blockchain based voting system ,Dr. Anant Nimkar,Blockchain,Data Science/Analytics,AIML,Security
Sentimental analyzer embedded in a social media clone,Dr. Prasenjit Bhavathankar,NLP,Data Science/Analytics,AIML,
Personalized suggestion system for Films with additional features (using Filtering techniques),Dr. Anant Nimkar,AIML,Data Science/Analytics,NLP,
Symptom Analysis and Disease Identification Chatbot (DocBot),Prof. Jyoti Ramteke,AIML,NLP,Data Science/Analytics,
Image recognition (Sign Language to text to Audio Translator),Prof. Abhijeet Salunkhe,Computer Vision,AIML,NLP,Data Science/Analytics
Colab+ (Collaboration tool),Dr. Surekha Dholay,DEV,Cloud Computing,Data Science/Analytics,AIML
GroceryMe,Prof. Anand Godbole,DEV,Data Science/Analytics,AIML,UX
Rubik's cube solver using OpenComputer vision,Prof. Jignesh Sisodia,Computer Vision,AIML,Data Science/Analytics,UX
Plant disease Detection,Prof. Swapnali Kurhade,Computer Vision,AIML,Data Science/Analytics,
Extractive summarization of text using NLP and Deep Learning,Dr. Anant Nimkar,NLP,Data Science/Analytics,AIML,Deep Learning
Transparent and Genuine Charity Application,Prof. Renuka Pawar,Blockchain,Data Science/Analytics,AIML,UX